load_id,report_date,load_type,load_time,load_weight,dropoff_site,route_type,route_number
177984,12/05/2006,RECYCLING - PAPER,12/05/2006 1:38:00,2400,MRF,RECYCLING - SINGLE STREAM,DF1
362321,26/03/2010,RECYCLING - SINGLE STREAM,26/03/2010 9:29:00,5160,MRF,RECYCLING - SINGLE STREAM,DF1
307169,05/12/2008,RECYCLING - SINGLE STREAM,05/12/2008 2:11:00,4580,MRF,RECYCLING - SINGLE STREAM,DF1
116994,04/02/2005,RECYCLING - COMINGLE,04/02/2005 12:46:00,800,MRF,RECYCLING - SINGLE STREAM,DF1
212069,20/01/2007,RECYCLING - PAPER,20/01/2007 11:04:00,1040,MRF,RECYCLING - SINGLE STREAM,DF1
390901,03/12/2010,RECYCLING - SINGLE STREAM,03/12/2010 1:37:00,6100,MRF,RECYCLING - SINGLE STREAM,DF1
304651,14/11/2008,RECYCLING - SINGLE STREAM,14/11/2008 5:09:00,1400,MRF,RECYCLING - SINGLE STREAM,DF1
381161,10/09/2010,RECYCLING - SINGLE STREAM,10/09/2010 9:18:00,5980,MRF,RECYCLING - SINGLE STREAM,DF1
280819,23/05/2008,RECYCLING - COMINGLE,23/05/2008 1:25:00,560,MRF,RECYCLING - SINGLE STREAM,DF1
143909,19/08/2005,RECYCLING - PAPER,19/08/2005 12:51:00,1080,MRF,RECYCLING - SINGLE STREAM,DF1
286660,27/06/2008,RECYCLING - PAPER,27/06/2008 10:01:00,1460,MRF,RECYCLING - SINGLE STREAM,DF1
372171,18/06/2010,RECYCLING - SINGLE STREAM,18/06/2010 1:19:00,6380,MRF,RECYCLING - SINGLE STREAM,DF1
227606,18/05/2007,RECYCLING - PAPER,18/05/2007 12:30:00,1620,MRF,RECYCLING - SINGLE STREAM,DF1
237837,03/08/2007,RECYCLING - PAPER,03/08/2007 12:54:00,1480,MRF,RECYCLING - SINGLE STREAM,DF1
161579,13/01/2006,RECYCLING - PAPER,13/01/2006 12:00:00,2120,MRF,RECYCLING - SINGLE STREAM,DF1
222020,06/04/2007,RECYCLING - COMINGLE,06/04/2007 12:13:00,1900,MRF,RECYCLING - SINGLE STREAM,DF1
289986,25/07/2008,RECYCLING - PAPER,25/07/2008 1:51:00,820,MRF,RECYCLING - SINGLE STREAM,DF1
376676,30/07/2010,RECYCLING - SINGLE STREAM,30/07/2010 12:40:00,11080,MRF,RECYCLING - SINGLE STREAM,DF1
240351,24/08/2007,RECYCLING - PAPER,24/08/2007 10:16:00,1920,MRF,RECYCLING - SINGLE STREAM,DF1
206132,08/12/2006,RECYCLING - PAPER,08/12/2006 9:38:00,1840,MRF,RECYCLING - SINGLE STREAM,DF1
328425,29/05/2009,RECYCLING - SINGLE STREAM,29/05/2009 1:43:00,1060,MRF,RECYCLING - SINGLE STREAM,DF1
251822,09/11/2007,RECYCLING - COMINGLE,09/11/2007 10:29:00,1840,MRF,RECYCLING - SINGLE STREAM,DF1
399398,12/02/2011,RECYCLING - SINGLE STREAM,12/02/2011 12:40:00,6020,MRF,RECYCLING - SINGLE STREAM,DF1
272496,28/03/2008,RECYCLING - PAPER,28/03/2008 11:31:00,1820,MRF,RECYCLING - SINGLE STREAM,DF1
281781,30/05/2008,RECYCLING - COMINGLE,30/05/2008 10:50:00,1760,MRF,RECYCLING - SINGLE STREAM,DF1
212829,26/01/2007,RECYCLING - PAPER,26/01/2007 2:18:00,1160,MRF,RECYCLING - SINGLE STREAM,DF1
146702,23/09/2005,RECYCLING - COMINGLE,23/09/2005 1:00:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
378380,13/08/2010,RECYCLING - SINGLE STREAM,13/08/2010 9:39:00,6280,MRF,RECYCLING - SINGLE STREAM,DF1
279738,16/05/2008,RECYCLING - COMINGLE,16/05/2008 12:31:00,2060,MRF,RECYCLING - SINGLE STREAM,DF1
367549,07/05/2010,RECYCLING - SINGLE STREAM,07/05/2010 3:34:00,3560,MRF,RECYCLING - SINGLE STREAM,DF1
